freq,unit,airpol,src_crf,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,MIO_T,CH4,CRF1,ES,0.13434,0.12624,0.13439,0.12447,0.11902,0.11556,0.11675,0.11614,0.11175,0.11461,0.11668,0.12041,0.12252,0.12528,0.12748,0.12883,0.12244,0.1224,0.12309,0.1174,0.11776,0.10995,0.11135,0.10914,0.09599,0.09221,0.08436,0.0867,0.09025,0.08729,0.08114,0.08465,0.07674,0.07516,0.07098
A,MIO_T,CH4,CRF1,EU27_2020,6.24322,5.82279,5.5859,5.58229,5.36756,5.30001,5.22711,5.07144,4.76562,4.68042,4.09498,3.96155,3.87723,3.87354,3.62775,3.5778,3.43623,3.32222,3.34406,3.16073,3.18439,3.049,3.09225,3.00165,2.81623,2.83182,2.74276,2.71552,2.61107,2.36752,2.24315,2.2554,2.07953,1.93717,1.8637
A,MIO_T,CH4,CRF1,FI,0.01265,0.01386,0.01448,0.01506,0.01543,0.01539,0.01585,0.01531,0.01538,0.01426,0.01327,0.01471,0.0142,0.01458,0.01417,0.01443,0.01381,0.01369,0.01328,0.01331,0.01415,0.01252,0.01319,0.01258,0.01238,0.01198,0.01255,0.01252,0.01234,0.01204,0.01041,0.01138,0.01063,0.01069,0.00962
A,MIO_T,CH4,CRF1,FR,0.49947,0.51894,0.51384,0.50935,0.48227,0.47685,0.44044,0.39159,0.38794,0.37111,0.32363,0.31761,0.2806,0.28634,0.26665,0.24694,0.22725,0.20636,0.20883,0.20582,0.21767,0.18113,0.19513,0.20034,0.16271,0.16637,0.17336,0.16267,0.15406,0.14834,0.12965,0.14214,0.12481,0.11854,0.11125
A,MIO_T,CH4,CRF1,HR,0.03332,0.03135,0.03276,0.02873,0.02616,0.0268,0.02809,0.02678,0.0263,0.02536,0.02335,0.02492,0.02454,0.02656,0.02603,0.0268,0.02616,0.02603,0.02552,0.02571,0.02673,0.02548,0.02406,0.02352,0.02114,0.02348,0.02313,0.02274,0.02148,0.02072,0.02036,0.0213,0.01959,0.01902,0.01819
A,MIO_T,CH4,CRF1,HU,0.15673,0.1581,0.1385,0.14403,0.14864,0.14676,0.14992,0.14946,0.14429,0.14217,0.14575,0.14316,0.13612,0.13857,0.1306,0.12451,0.10992,0.10136,0.09574,0.09496,0.09789,0.09926,0.09907,0.09918,0.09287,0.09375,0.09307,0.0936,0.09004,0.088,0.08365,0.07569,0.06882,0.06163,0.06241
A,MIO_T,CH4,CRF1,IE,0.02476,0.02404,0.02125,0.02092,0.01915,0.01796,0.018,0.01643,0.01659,0.01416,0.01425,0.01442,0.01326,0.03949,0.01296,0.01301,0.0132,0.01331,0.0134,0.01339,0.01301,0.0118,0.01168,0.01198,0.01176,0.01189,0.01208,0.01112,0.01177,0.01086,0.01105,0.01036,0.00919,0.00848,0.00881
A,MIO_T,CH4,CRF1,IS,0.00036,0.00035,0.00037,0.00037,0.00036,0.00036,0.00035,0.00034,0.00034,0.00034,0.00033,0.0003,0.0003,0.00029,0.0003,0.00028,0.00031,0.00034,0.00032,0.0003,0.00038,0.00032,0.00029,0.00031,0.00032,0.00032,0.0003,0.00027,0.00027,0.00026,0.00025,0.00027,0.00028,0.00029,0.00029
A,MIO_T,CH4,CRF1,IT,0.46281,0.46773,0.47035,0.46584,0.4567,0.44652,0.43843,0.44017,0.44248,0.434,0.41777,0.39508,0.37626,0.38857,0.36007,0.38048,0.3624,0.37997,0.39126,0.37711,0.38655,0.35288,0.37517,0.36927,0.34678,0.33702,0.31958,0.3208,0.30004,0.26657,0.25574,0.2559,0.21979,0.1934,0.19042
A,MIO_T,CH4,CRF1,LT,0.02126,0.02142,0.01585,0.01635,0.01595,0.01578,0.01567,0.0157,0.01544,0.01505,0.01529,0.01537,0.01592,0.01616,0.01694,0.01866,0.01841,0.0176,0.01769,0.01706,0.0182,0.01595,0.01827,0.01781,0.01883,0.01939,0.01909,0.01878,0.01735,0.01776,0.01584,0.01562,0.0118,0.00878,0.0086
A,MIO_T,CH4,CRF1,LU,0.00193,0.00205,0.00201,0.00197,0.00189,0.00191,0.00197,0.00196,0.00193,0.00195,0.00198,0.00215,0.00272,0.00275,0.003,0.00295,0.00304,0.00284,0.00276,0.00278,0.00294,0.00258,0.00267,0.00239,0.00233,0.00221,0.00217,0.00214,0.00215,0.0021,0.002,0.00212,0.00188,0.00187,0.00201
A,MIO_T,CH4,CRF1,LV,0.02189,0.02276,0.02063,0.02097,0.02069,0.02094,0.02098,0.01981,0.01869,0.01814,0.01693,0.0179,0.01788,0.01694,0.01719,0.01769,0.0158,0.01581,0.01491,0.01557,0.01317,0.01198,0.01306,0.01308,0.014,0.0115,0.01205,0.0143,0.01189,0.01185,0.01109,0.01119,0.01069,0.01069,0.01045
A,MIO_T,CH4,CRF1,MT,0.00018,0.00018,0.00018,0.0002,0.0002,0.00021,0.00021,0.00021,0.0002,0.0002,0.00019,0.00019,0.00018,0.00019,0.00018,0.00017,0.00016,0.00017,0.00016,0.00015,0.00016,0.00016,0.00016,0.00015,0.00015,0.00012,0.0001,0.0001,9e-05,0.0001,9e-05,9e-05,0.0001,9e-05,8e-05
A,MIO_T,CH4,CRF1,NL,0.11722,0.12066,0.11973,0.12237,0.12308,0.12717,0.13016,0.10309,0.09865,0.09032,0.08636,0.08566,0.08253,0.08228,0.0801,0.08411,0.08523,0.09921,0.11538,0.11178,0.12033,0.11382,0.10876,0.10557,0.09428,0.0951,0.09097,0.091,0.08984,0.09369,0.09114,0.09437,0.07438,0.07741,0.07737
A,MIO_T,CH4,CRF1,NO,0.04118,0.04054,0.04393,0.04972,0.05211,0.05215,0.05463,0.05846,0.05617,0.05653,0.05913,0.06165,0.05933,0.05656,0.05378,0.04917,0.04494,0.05014,0.04529,0.04336,0.04266,0.03848,0.03808,0.03599,0.03436,0.03498,0.03404,0.03431,0.03253,0.03106,0.032,0.03133,0.03382,0.0308,0.03024
A,MIO_T,CH4,CRF1,PL,0.99394,0.90697,0.9144,0.91652,0.91139,0.90159,0.90437,0.89582,0.83107,0.81918,0.79572,0.82769,0.83431,0.85524,0.86543,0.88256,0.89445,0.86885,0.87721,0.84734,0.8512,0.83221,0.83519,0.8364,0.82758,0.8649,0.8708,0.86117,0.87367,0.77399,0.76588,0.75137,0.71187,0.67037,0.6419
A,MIO_T,CH4,CRF1,PT,0.02838,0.02751,0.02684,0.02612,0.02484,0.02216,0.02193,0.02139,0.02102,0.02084,0.02081,0.02017,0.01984,0.01915,0.01865,0.01791,0.01728,0.01676,0.0163,0.01585,0.01546,0.01562,0.01536,0.01538,0.01509,0.0151,0.01492,0.01498,0.01488,0.01473,0.01451,0.0148,0.01461,0.01464,0.01438
A,MIO_T,CH4,CRF1,RO,1.18479,0.99136,0.90906,0.87339,0.88073,0.89355,0.8951,0.88442,0.79482,0.76477,0.39169,0.38204,0.40906,0.41167,0.37383,0.36837,0.34986,0.32684,0.32783,0.2959,0.28378,0.28117,0.27153,0.25468,0.24553,0.2339,0.2221,0.22104,0.21381,0.21316,0.19994,0.20293,0.19204,0.18264,0.17627
A,MIO_T,CH4,CRF1,SE,0.01694,0.01792,0.01764,0.01705,0.01741,0.01714,0.01759,0.01647,0.01622,0.01532,0.0145,0.01469,0.01426,0.01347,0.01379,0.01337,0.01322,0.01295,0.01226,0.01237,0.01246,0.01164,0.01111,0.01069,0.00988,0.00955,0.00994,0.0096,0.00969,0.00937,0.00943,0.0103,0.00921,0.00854,0.00895
A,MIO_T,CH4,CRF1,SI,0.0243,0.02347,0.02408,0.02283,0.02205,0.02249,0.02202,0.02291,0.02284,0.02186,0.02153,0.02187,0.02149,0.02228,0.02178,0.02244,0.02126,0.02226,0.022,0.02121,0.02128,0.02115,0.02014,0.01935,0.01578,0.01673,0.0175,0.01728,0.01611,0.01548,0.01513,0.01428,0.0125,0.01259,0.01154
A,MIO_T,CH4,CRF1,SK,0.12773,0.12664,0.14953,0.14459,0.14373,0.1419,0.14114,0.13739,0.14081,0.13757,0.13085,0.12495,0.1215,0.11508,0.11624,0.11193,0.10774,0.09872,0.10024,0.09144,0.08959,0.08651,0.07643,0.07818,0.06771,0.06249,0.06376,0.06214,0.05564,0.04804,0.04373,0.03914,0.03285,0.02979,0.02457
A,MIO_T,CH4,CRF1,TR,0.32415,0.31379,0.31523,0.308,0.29161,0.29743,0.29719,0.317,0.32477,0.36062,0.3792,0.34693,0.33553,0.32767,0.32703,0.35206,0.36269,0.44695,0.50871,0.51562,0.515,0.52991,0.55138,0.48993,0.56126,0.30557,0.44162,0.36884,0.40062,0.49493,0.45536,0.51835,0.51239,0.35301,0.49241
A,MIO_T,CH4,CRF1A,AT,0.02442,0.02537,0.02311,0.02168,0.01981,0.02099,0.02067,0.01837,0.0174,0.01732,0.01664,0.01723,0.01597,0.01573,0.01541,0.01503,0.01531,0.01494,0.01513,0.0149,0.01625,0.01504,0.01553,0.0157,0.01401,0.01438,0.0146,0.01483,0.01369,0.01358,0.01329,0.01505,0.0139,0.01505,0.01457
A,MIO_T,CH4,CRF1A,BE,0.01799,0.01922,0.01909,0.01852,0.0171,0.01683,0.01782,0.01605,0.01548,0.01496,0.01452,0.01506,0.01419,0.01518,0.01529,0.01472,0.01508,0.01511,0.01753,0.01865,0.0209,0.01776,0.01871,0.02061,0.01691,0.01926,0.01976,0.01935,0.01955,0.02027,0.0199,0.02211,0.0194,0.02073,0.02108
A,MIO_T,CH4,CRF1A,BG,0.01566,0.01232,0.01462,0.01514,0.0125,0.01159,0.01323,0.01196,0.01413,0.01186,0.01168,0.01023,0.01315,0.01425,0.01335,0.01298,0.01374,0.01286,0.013,0.01217,0.01357,0.0146,0.01512,0.01414,0.01306,0.01319,0.01367,0.01441,0.01443,0.01426,0.0154,0.01552,0.0132,0.01123,0.00919
A,MIO_T,CH4,CRF1A,CH,0.01196,0.01214,0.0114,0.01049,0.00955,0.00945,0.00953,0.0087,0.00865,0.00838,0.00777,0.00779,0.0072,0.00727,0.00708,0.00698,0.0066,0.00602,0.00612,0.00582,0.00588,0.00486,0.00496,0.00501,0.00404,0.00411,0.00418,0.00399,0.0037,0.00364,0.00334,0.00359,0.00305,0.00295,0.00287
A,MIO_T,CH4,CRF1A,CY,0.00049,0.0005,0.0005,0.0005,0.00051,0.00054,0.00056,0.00054,0.00055,0.00055,0.00054,0.00054,0.00054,0.00056,0.00057,0.00057,0.00057,0.00061,0.00067,0.00071,0.00062,0.00063,0.00063,0.00056,0.00053,0.00065,0.00067,0.00074,0.00074,0.00077,0.00075,0.00076,0.00079,0.00072,0.00071
A,MIO_T,CH4,CRF1A,CZ,0.07516,0.06895,0.06181,0.05821,0.05412,0.04937,0.0506,0.04679,0.03818,0.03385,0.03512,0.03586,0.0348,0.03529,0.03522,0.03318,0.03417,0.0335,0.03356,0.03552,0.03779,0.038,0.03904,0.04029,0.03897,0.03948,0.03965,0.04088,0.04035,0.04031,0.04027,0.0434,0.04191,0.03533,0.03239
A,MIO_T,CH4,CRF1A,DE,0.26585,0.19322,0.14907,0.13279,0.111,0.10535,0.10234,0.10064,0.09128,0.08854,0.08511,0.08425,0.08142,0.08899,0.08596,0.08739,0.09796,0.10968,0.1213,0.12018,0.13688,0.1393,0.1545,0.1587,0.15208,0.15748,0.16005,0.1617,0.16043,0.16098,0.16491,0.17125,0.1695,0.1557,0.15771
A,MIO_T,CH4,CRF1A,DK,0.0111,0.01226,0.01286,0.01506,0.01811,0.0239,0.0281,0.02754,0.02878,0.02837,0.02767,0.02842,0.02773,0.02728,0.02685,0.02496,0.02344,0.02174,0.02143,0.01939,0.02175,0.01856,0.01483,0.01364,0.01131,0.01098,0.0114,0.01115,0.01125,0.01103,0.00936,0.0102,0.00861,0.00808,0.00758
A,MIO_T,CH4,CRF1A,EE,0.0038,0.00374,0.00214,0.00179,0.00181,0.00205,0.00244,0.00228,0.00184,0.00181,0.00165,0.00167,0.00162,0.00148,0.00156,0.00145,0.0014,0.00139,0.00138,0.00135,0.00146,0.00147,0.00145,0.0013,0.00129,0.00121,0.00124,0.0013,0.00128,0.0013,0.00132,0.00144,0.00141,0.00138,0.00137
A,MIO_T,CH4,CRF1A,EL,0.01501,0.01518,0.01511,0.01514,0.01513,0.01517,0.01526,0.01542,0.01551,0.0155,0.01571,0.01579,0.01562,0.01556,0.01562,0.01565,0.0155,0.01601,0.01398,0.01267,0.01308,0.01492,0.01639,0.01439,0.01385,0.01426,0.01269,0.01291,0.0124,0.01208,0.01105,0.0119,0.01237,0.01261,0.01083
A,MIO_T,CH4,CRF1A,ES,0.05656,0.06035,0.06246,0.0598,0.05949,0.05908,0.06139,0.0624,0.06537,0.06887,0.07328,0.07578,0.07774,0.08434,0.08962,0.09375,0.08651,0.08736,0.08815,0.0868,0.09021,0.08584,0.09111,0.08813,0.07798,0.079,0.07188,0.07581,0.07814,0.07762,0.07268,0.07577,0.06689,0.06616,0.06233
A,MIO_T,CH4,CRF1A,EU27_2020,1.17449,1.17058,1.08392,1.09451,1.00645,1.00625,1.05928,1.00775,0.95238,0.92987,0.88343,0.88994,0.84607,0.89813,0.88701,0.91512,0.92332,0.94224,0.99821,0.99227,1.05695,0.95834,1.02576,1.02893,0.92228,0.94786,0.95193,0.96028,0.9724,0.94833,0.92108,0.97145,0.87704,0.83214,0.80647
A,MIO_T,CH4,CRF1A,FI,0.01221,0.01196,0.01186,0.01175,0.01172,0.01168,0.01208,0.01206,0.01203,0.01159,0.01076,0.0116,0.01164,0.01179,0.01166,0.01154,0.01132,0.01144,0.0111,0.01123,0.01237,0.01096,0.01157,0.01102,0.0111,0.01051,0.01123,0.01129,0.01115,0.01097,0.00952,0.01049,0.00971,0.00931,0.00893
A,MIO_T,CH4,CRF1A,FR,0.235,0.26833,0.2574,0.24615,0.21605,0.21488,0.22842,0.20315,0.20297,0.19311,0.1822,0.18526,0.17193,0.18102,0.18077,0.1745,0.15895,0.1473,0.14988,0.14713,0.15625,0.1227,0.13805,0.14526,0.11353,0.11801,0.12408,0.11715,0.11066,0.10814,0.09578,0.10897,0.09344,0.08962,0.08598
A,MIO_T,CH4,CRF1A,HR,0.01655,0.0177,0.01508,0.01575,0.01442,0.01521,0.01693,0.01585,0.01599,0.01578,0.01414,0.01514,0.01457,0.01655,0.0161,0.01685,0.01554,0.01501,0.01494,0.01545,0.01643,0.01598,0.01581,0.01567,0.01382,0.01572,0.01532,0.01499,0.01436,0.01405,0.0142,0.01539,0.01404,0.01372,0.01317
A,MIO_T,CH4,CRF1A,HU,0.038,0.03746,0.02464,0.02522,0.02151,0.02047,0.02101,0.0202,0.01579,0.01609,0.02191,0.0239,0.01732,0.02246,0.02076,0.02039,0.02074,0.02028,0.01829,0.02369,0.02612,0.02911,0.03056,0.03102,0.02584,0.02734,0.02711,0.02621,0.02221,0.02082,0.02048,0.02119,0.02055,0.01914,0.01878
A,MIO_T,CH4,CRF1A,IE,0.02052,0.02018,0.01758,0.0171,0.01538,0.01417,0.0142,0.01272,0.01341,0.01095,0.01093,0.01056,0.01029,0.00982,0.00966,0.01007,0.00978,0.00956,0.00986,0.01004,0.00954,0.00861,0.00856,0.00894,0.00826,0.00836,0.00854,0.00751,0.00797,0.00724,0.0074,0.00713,0.00599,0.00531,0.00536
A,MIO_T,CH4,CRF1A,IS,0.00033,0.00033,0.00034,0.00034,0.00033,0.00033,0.00032,0.00031,0.0003,0.00029,0.00027,0.00024,0.00024,0.00023,0.00023,0.00021,0.00021,0.00021,0.0002,0.00019,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00011,0.0001,0.0001,0.0001,0.0001,0.0001
A,MIO_T,CH4,CRF1A,IT,0.09932,0.10803,0.10719,0.10845,0.10772,0.11049,0.10836,0.11191,0.11066,0.11183,0.10178,0.09575,0.07578,0.0921,0.07315,0.09342,0.101,0.12242,0.13675,0.12876,0.12673,0.09566,0.12192,0.12446,0.11216,0.12014,0.1168,0.12375,0.11632,0.11676,0.11147,0.12079,0.10498,0.09495,0.09145
A,MIO_T,CH4,CRF1A,LT,0.01065,0.01117,0.00603,0.00692,0.00655,0.00665,0.00739,0.00749,0.00764,0.00768,0.00756,0.00775,0.00779,0.00788,0.00791,0.00812,0.00847,0.00831,0.00857,0.00854,0.00862,0.00846,0.00856,0.00817,0.00757,0.00716,0.00696,0.00678,0.00661,0.0061,0.00585,0.00602,0.00548,0.00496,0.00543
A,MIO_T,CH4,CRF1A,LU,0.00115,0.00124,0.00116,0.00109,0.00101,0.0009,0.00087,0.00083,0.00079,0.00077,0.00077,0.00081,0.00079,0.00079,0.00083,0.00082,0.0008,0.00075,0.00076,0.00075,0.00076,0.00069,0.00073,0.00075,0.00077,0.00081,0.00089,0.00087,0.00091,0.00085,0.00088,0.00091,0.00094,0.00099,0.00108
A,MIO_T,CH4,CRF1A,LV,0.01199,0.01322,0.01194,0.01265,0.01256,0.01303,0.01336,0.01269,0.01186,0.01163,0.01091,0.01205,0.01177,0.01218,0.01247,0.01236,0.01198,0.01189,0.01088,0.01176,0.00951,0.00946,0.00988,0.00904,0.00859,0.00739,0.00739,0.00819,0.00825,0.00794,0.00708,0.00725,0.00718,0.00704,0.00705
A,MIO_T,CH4,CRF1A,MT,0.00018,0.00018,0.00018,0.0002,0.0002,0.00021,0.00021,0.00021,0.0002,0.0002,0.00019,0.00019,0.00018,0.00019,0.00018,0.00017,0.00016,0.00017,0.00016,0.00015,0.00016,0.00016,0.00016,0.00015,0.00015,0.00012,0.0001,0.0001,9e-05,0.0001,9e-05,9e-05,0.0001,9e-05,8e-05
A,MIO_T,CH4,CRF1A,NL,0.03501,0.03853,0.03782,0.04061,0.0413,0.04552,0.05426,0.05154,0.04673,0.04539,0.0444,0.04426,0.04276,0.04279,0.04254,0.04468,0.04892,0.05996,0.07464,0.07655,0.08197,0.07491,0.07199,0.07225,0.06201,0.06475,0.06212,0.06499,0.06655,0.07096,0.06985,0.07528,0.05735,0.06008,0.06209
A,MIO_T,CH4,CRF1A,NO,0.02156,0.01984,0.01951,0.02145,0.02255,0.02222,0.02333,0.02393,0.02274,0.02252,0.02251,0.02289,0.02454,0.02366,0.02131,0.02149,0.02097,0.02151,0.02137,0.02191,0.02363,0.02143,0.02186,0.01901,0.01796,0.01845,0.01742,0.01784,0.01648,0.0152,0.01591,0.0158,0.0181,0.01624,0.01619
A,MIO_T,CH4,CRF1A,PL,0.12206,0.15087,0.1558,0.19625,0.17699,0.17648,0.18241,0.1636,0.13822,0.13996,0.11423,0.12256,0.12666,0.12505,0.12948,0.1372,0.15104,0.13984,0.14687,0.14934,0.16757,0.15347,0.15772,0.15415,0.14231,0.14067,0.14805,0.14774,0.18002,0.15723,0.15517,0.15175,0.13527,0.12978,0.12215
A,MIO_T,CH4,CRF1A,PT,0.02269,0.0222,0.022,0.02136,0.02106,0.02095,0.02077,0.02024,0.01974,0.01937,0.01904,0.01818,0.01769,0.01692,0.01628,0.01557,0.01489,0.01428,0.01369,0.01327,0.01273,0.01294,0.01265,0.01269,0.01251,0.01239,0.01225,0.01219,0.01206,0.01191,0.01178,0.01202,0.0119,0.01202,0.01174
A,MIO_T,CH4,CRF1A,RO,0.02427,0.01987,0.01804,0.01855,0.01804,0.01983,0.03594,0.04517,0.04024,0.03769,0.03683,0.02996,0.0306,0.03593,0.04175,0.04258,0.04041,0.04136,0.0503,0.04891,0.05028,0.04494,0.04651,0.04446,0.0447,0.04326,0.04361,0.04417,0.04383,0.04407,0.04425,0.04713,0.04464,0.04259,0.04001
A,MIO_T,CH4,CRF1A,SE,0.01305,0.01352,0.01317,0.01253,0.01282,0.01265,0.01281,0.0118,0.01141,0.01066,0.0101,0.00995,0.00972,0.00954,0.00938,0.00916,0.00923,0.00878,0.00869,0.00865,0.00879,0.00824,0.00768,0.00752,0.00707,0.00704,0.00719,0.00714,0.00673,0.00712,0.00707,0.00774,0.00703,0.00641,0.00687
A,MIO_T,CH4,CRF1A,SI,0.00787,0.00814,0.00796,0.00795,0.00778,0.00773,0.00786,0.00775,0.00754,0.00744,0.00734,0.0086,0.00684,0.00708,0.00667,0.00801,0.00696,0.00793,0.00779,0.00738,0.00737,0.00736,0.00703,0.00718,0.00585,0.00659,0.00681,0.00651,0.00576,0.00533,0.00491,0.0055,0.00459,0.00418,0.00402
A,MIO_T,CH4,CRF1A,SK,0.01792,0.01689,0.0153,0.01334,0.01176,0.01053,0.00998,0.00854,0.00865,0.00811,0.00843,0.00859,0.00694,0.0074,0.00796,0.00999,0.00946,0.00977,0.00891,0.00834,0.00924,0.00858,0.00904,0.00873,0.00607,0.00771,0.00786,0.00764,0.00665,0.00654,0.0064,0.00639,0.00588,0.00496,0.00451
A,MIO_T,CH4,CRF1A,TR,0.13936,0.14031,0.14358,0.14004,0.12894,0.13381,0.13239,0.13888,0.12931,0.12175,0.1218,0.10838,0.11011,0.11255,0.11455,0.11323,0.1094,0.11249,0.15424,0.1727,0.16846,0.14788,0.15591,0.13154,0.1309,0.08252,0.0823,0.09402,0.08301,0.08944,0.0989,0.09438,0.08525,0.08745,0.08828
A,MIO_T,CH4,CRF1A1,AT,0.00033,0.00036,0.00034,0.00036,0.00036,0.00037,0.00043,0.00044,0.00043,0.0004,0.00039,0.00045,0.00047,0.00054,0.00058,0.00062,0.0007,0.00074,0.00082,0.00089,0.001,0.001,0.00103,0.001,0.00096,0.00103,0.00103,0.00104,0.001,0.00098,0.001,0.00102,0.00099,0.00097,0.00094
A,MIO_T,CH4,CRF1A1,BE,0.00079,0.00078,0.00073,0.00071,0.00077,0.00078,0.00071,0.00084,0.00092,0.00114,0.00123,0.00124,0.00155,0.00168,0.00144,0.00133,0.00125,0.00143,0.00104,0.00123,0.00124,0.00129,0.00107,0.00108,0.00136,0.00106,0.00104,0.00109,0.001,0.0014,0.0014,0.0013,0.0012,0.0012,0.0012
A,MIO_T,CH4,CRF1A1,BG,0.00052,0.00038,0.00037,0.00037,0.00033,0.00034,0.00035,0.00034,0.00032,0.00028,0.00027,0.00031,0.00028,0.0003,0.00029,0.0003,0.0003,0.00033,0.00035,0.00033,0.00035,0.00039,0.00035,0.0003,0.00034,0.00034,0.00034,0.00033,0.00073,0.00084,0.00073,0.00112,0.001,0.00077,0.00068
A,MIO_T,CH4,CRF1A1,CH,3e-05,4e-05,5e-05,3e-05,4e-05,4e-05,4e-05,5e-05,6e-05,5e-05,5e-05,5e-05,5e-05,5e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,6e-05,6e-05,6e-05,6e-05,5e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05
A,MIO_T,CH4,CRF1A1,CY,7e-05,7e-05,9e-05,9e-05,0.0001,0.0001,0.0001,0.0001,0.00011,0.00012,0.00012,0.00012,0.00012,0.00013,0.00013,0.00014,0.00014,0.00015,0.00016,0.00015,0.00015,0.00014,0.00014,0.00011,0.00011,0.00012,0.00013,0.00013,0.00013,0.00013,0.00012,0.00012,0.00013,0.00012,0.00013
A,MIO_T,CH4,CRF1A1,CZ,0.00066,0.00064,0.00065,0.00066,0.00069,0.00077,0.00086,0.00085,0.00088,0.00086,0.00086,0.0009,0.0009,0.00103,0.00111,0.00091,0.00092,0.00101,0.00103,0.00106,0.00119,0.00124,0.00126,0.00122,0.00125,0.00131,0.00135,0.0014,0.00135,0.00137,0.00136,0.00145,0.00147,0.0014,0.00144
